name,price,customer_ratings,category,image
"eufy Smart Lock C33, Keyless Fingerprint Door Lock with Handle, Integrated Wi-Fi, Remote Control via App, Biometric Entry Knob, Auto-Locking, IP53 Waterproof (2025 New Version)",$129..99,4.6 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/51U3gWXoAcL._AC_SX148_SY213_QL70_.jpg
"Amazon Echo Show 10 (newest model), HD smart display with premium sound, motion and Alexa, Charcoal",,4.5 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/51mZTrzrBqL._AC_SX148_SY213_QL70_.jpg
"Kasa Smart Plug HS103P4, Smart Home Wi-Fi Outlet Works with Alexa, Echo, Google Home & IFTTT, No Hub Required, Remote Control, 15 Amp, UL Certified, 4-Pack, White",$24..99,4.6 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/51zoLDBO0wL._AC_SX148_SY213_QL70_.jpg
"Skylight Calendar: 15-inch Wall Planner Digital Calendar & Chore Chart, Smart Touchscreen Interactive Display for Family Schedules – Wall Mount Included, Great for Organizing Your 2025 Calendar",$319..99,4.5 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/71Kxk8es6dL._AC_SX148_SY213_QL70_.jpg
"TCL Security Smart Lock D1, Fingerprint Door Lock Deadbolt, Built-in 2.4 WiFi Deadbolt for Front Door Works with Alexa & Google Assistant, Easy Installation",$89..99,5.0 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61VLaGDonfL._AC_SX148_SY213_QL70_.jpg
"Frizzlife LP365 Smart Water Monitor and Automatic Shutoff - 0.01GPM Ultrasonic Micro Leak Detection, APP Wi-Fi Remote Control, Real-Time Flow/Temp Monitoring, 24/7 Water Usage Reports, 3/4"" and 1""",$299..99,4.8 out of 5 stars,smart home devices,"https://m.media-amazon.com/images/I/71M+nNjFTLL._AC_SR263,263_QL70_.jpg"
"Frizzlife LP365 Smart Water Monitor and Automatic Shutoff - 0.01GPM Ultrasonic Micro Leak Detection, APP Wi-Fi Remote Control, Real-Time Flow/Temp Monitoring, 24/7 Water Usage Reports, 3/4"" and 1""",$299..99,4.8 out of 5 stars,smart home devices,"https://m.media-amazon.com/images/I/71M+nNjFTLL._AC_SR263,263_QL70_.jpg"
Smart Towel Warmer - Coolbreeze Insulation Tech | Voice Control with Alexa & Google Assistant | Matte Finish | 20L,$89..99,4.1 out of 5 stars,smart home devices,"https://m.media-amazon.com/images/I/61ijBnhVSeL._AC_SR263,263_QL70_.jpg"
"Ring Battery Doorbell, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (2024 release), Venetian Bronze",,4.6 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/41FtCUr5PuL._AC_SX148_SY213_QL70_.jpg
"Amazon Echo Dot (newest model), Vibrant sounding Alexa speaker, Great for bedrooms, dining rooms and offices, Glacier White",,4.6 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/71168bJdfnL._AC_SX148_SY213_QL70_.jpg
